,STATION,LINENAME,DIVISION,index,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,STATION
0,1 AV,L,BMT,118,119,119,L06,BMT,Canarsie,1 Av,M,L,Subway,40.730953,-73.981628,8 Av,Brooklyn,1 AV
6,104 ST,JZ,BMT,81,82,82,J14,BMT,Jamaica,104 St,Q,JZ,Elevated,40.695178000000000,-73.84433,Jamaica,Manhattan,104 ST
10,111 ST,J,BMT,80,81,81,J13,BMT,Jamaica,111 St,Q,J,Elevated,40.697418,-73.836345,Jamaica,Manhattan,111 ST
15,121 ST,JZ,BMT,79,80,80,J12,BMT,Jamaica,121 St,Q,JZ,Elevated,40.700492,-73.828294,Jamaica,Manhattan,121 ST
28,14 ST-UNION SQ,LNQR456W,BMT,14,15,602,R20,BMT,Broadway - Brighton,14 St - Union Sq,M,NQRW,Subway,40.735736000000000,-73.99056800000000,Uptown & Queens,Downtown & Brooklyn,14 ST - UNION SQ
52,18 AV,D,BMT,65,66,66,B19,BMT,West End,18 Av,Bk,D,Elevated,40.607954,-74.001736,Manhattan,Coney Island,18 AV
54,18 AV,N,BMT,73,74,74,N05,BMT,Sea Beach,18 Av,Bk,N,Open Cut,40.620671,-73.990414,Manhattan,Coney Island,18 AV
63,20 AV,D,BMT,66,67,67,B20,BMT,West End,20 Av,Bk,D,Elevated,40.604556,-73.998168,Manhattan,Coney Island,20 AV
64,20 AV,N,BMT,74,75,75,N06,BMT,Sea Beach,20 Av,Bk,N,Open Cut,40.61741,-73.985026,Manhattan,Coney Island,20 AV
75,23 ST,NRW,BMT,13,14,14,R19,BMT,Broadway - Brighton,23 St,M,RW,Subway,40.741303,-73.98934400000000,Uptown & Queens,Downtown & Brooklyn,23 ST
79,25 AV,D,BMT,68,69,69,B22,BMT,West End,25 Av,Bk,D,Elevated,40.597704,-73.986829,Manhattan,Coney Island,25 AV
80,25 ST,R,BMT,30,31,31,R35,BMT,4th Av,25 St,Bk,R,Subway,40.660397000000000,-73.998091,Manhattan,Bay Ridge - 95 St,25 ST
83,28 ST,NRW,BMT,12,13,13,R18,BMT,Broadway - Brighton,28 St,M,RW,Subway,40.745494,-73.988691,Uptown & Queens,Downtown & Brooklyn,28 ST
84,3 AV,L,BMT,117,118,118,L05,BMT,Canarsie,3 Av,M,L,Subway,40.732849,-73.986122,8 Av,Brooklyn,3 AV
87,30 AV,NQW,BMT,2,3,3,R04,BMT,Astoria,30 Av,Q,NW,Elevated,40.766779,-73.921479,Astoria - Ditmars Blvd,Manhattan,30 AV
90,34 ST-HERALD SQ,BDFMNQRW,BMT,11,12,607,R17,BMT,Broadway - Brighton,34 St - Herald Sq,M,NQRW,Subway,40.749567,-73.98795,Uptown & Queens,Downtown & Brooklyn,34 ST - HERALD SQ
96,36 AV,NQW,BMT,4,5,5,R06,BMT,Astoria,36 Av,Q,NW,Elevated,40.756804000000000,-73.929575,Astoria - Ditmars Blvd,Manhattan,36 AV
